q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.15699894164541428,3.951374234642788,1000,29,0.029,0.020266315636487786,0.041338622831892095
0.1,0.2,3.951374234642788,5.862156122960953,1000,87,0.087,0.07107415624980785,0.10608686198255073
0.2,0.30000000000000004,5.862156122960953,7.622069706477762,1000,128,0.128,0.10870719327761863,0.15014001927065596
0.30000000000000004,0.4,7.622069706477762,9.61585852944647,1000,161,0.161,0.13952416184016234,0.1850704754014105
0.4,0.5,9.61585852944647,11.836999663762391,1000,164,0.164,0.1423438135383711,0.18822786231168337
0.5,0.6000000000000001,11.836999663762391,14.556026744337643,1000,200,0.2,0.17637667806123578,0.2259194610905986
0.6000000000000001,0.7000000000000001,14.556026744337643,18.09550523408921,1000,222,0.222,0.19733260399021366,0.24879515162381952
0.7000000000000001,0.8,18.09550523408921,23.50825826227113,1000,290,0.29,0.26272154995365626,0.31888574745262777
0.8,0.9,23.50825826227113,33.94317644077346,1000,398,0.398,0.3681073127329591,0.42867337457866467
0.9,1.0,33.94317644077346,226.82151385627054,1000,530,0.53,0.49900973970958434,0.5607606463752323
