group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,10000,5093,0.5093,2209,0.2209,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,10000,5093,0.5093,2209,0.2209,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,10000,5093,0.5093,2209,0.2209,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,10000,5093,0.5093,2209,0.2209,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,10000,5093,0.5093,2209,0.2209,0.01
I <= 0.05,5,1,0.2,0,0.0,0.05
I > 0.05,9995,5092,0.5094547273636818,2209,0.2210105052526263,0.05
I <= 0.1,69,16,0.2318840579710145,0,0.0,0.1
I > 0.1,9931,5077,0.5112274695398248,2209,0.22243480012083375,0.1
