category,count,percentage
Unstable,55,31.428571428571427
Stable,120,68.57142857142857
"Lock-in
(from Stable)",51,29.142857142857142
"Finely-tuned
|E-I|≤0.5",6,3.428571428571429
"Coarsely-tuned
|E-I|>0.5",45,25.71428571428571
